2011-01-14 00:00:00,Declares Quarterly Dividend Of per Common Share
2011-01-18 00:00:00,Increases Share Repurchase Program Authorization
2011-11-11 00:00:00,Declares Quarterly Dividend
2012-01-13 00:00:00,Declares Quarterly Dividend Of per Common Share
2012-05-14 00:00:00,Increases Share Repurchase Program Authorization
2012-10-11 00:00:00,Kilroy Realty Moves Up In Market Cap Passing Assurant
2012-10-22 00:00:00,Assurant to Cut California Rates Regulator Says
2012-10-23 00:00:00,Macquarie Reiterates Underperform on Assurant
2012-10-24 00:00:00,Assurant Announces Quarterly Beats Estimates By EPS
2012-10-25 00:00:00,Assurant Employee Benefits sees results slip on client loss
