2010-12-13 00:00:00,Akamai Secures Contract From Diesel
2010-12-20 00:00:00,United States Court of Appeals Affirms Limelight Does Not Infringe Akamai Patents
2011-02-22 00:00:00,Akamai Powers Exclusive Private Shopping Website HauteLook
2011-07-27 00:00:00,Akamai Issues FY 2011 Revenue Guidance Below Issues Q3 2011 Guidance Below Call
2011-08-08 00:00:00,Akamai Authorizes Million Expansion Of Share Repurchase Program
2011-11-16 00:00:00,Akamai Expands NetAlliance Partner Program
2012-03-06 00:00:00,Akamai Completes Acquisition Of Cotendo
2012-10-09 00:00:00,Akamai Technologies Has Broken Out To A New High
2012-10-17 00:00:00,AKAMAI Akamai Releases Second Quarter 2012
2012-10-24 00:00:00,Akamai Technologies Inc Issues Q4 2012 Guidance In Line With Call
