2010-11-17 00:00:00,Applied Issues Q1 2011 Guidance In Line With Estimates
2010-11-30 00:00:00,Applied And Samsung Electronics Reach Settlement On Data
2010-12-08 00:00:00,Applied Announces Cash Dividend
2011-02-24 00:00:00,Applied Issues Q2 2011 EPS Guidance Above Comments On Q2 2011 Revenue Issues FY 2011 Guidance Above Call
2011-04-05 00:00:00,Quantum Global Technologies To Acquire Chamber Cleaning And Coating Services Group From Applied
2011-05-04 00:00:00,Applied To Buy Varian Semiconductor Equipment For
2011-06-10 00:00:00,Quantum Global Technologies Completes Acquisition of Chamber Cleaning and Coating Services Group from Applied
2012-02-16 00:00:00,Applied Issues Q2 2012 Guidance Above Call
2012-05-17 00:00:00,Applied Comments On Q3 2012 Revenue Issues Q3 2012 EPS Guidance In Line With Sees FY 2012 Guidance At High End Of Prior Call
2012-07-10 00:00:00,Applied Updates Q3 2012 Call
2012-08-16 00:00:00,Applied Materials Inc Comments On Q4 2012 Revenue Issues Q4 2012 EPS Guidance Below Call
2012-09-13 00:00:00,Applied Materials Inc Announces Cash Dividend
2012-10-03 00:00:00,Applied Materials to Cut Up to 1300 Jobs
2012-10-04 00:00:00,Early News NuVasive Applied Materials
2012-10-05 00:00:00,Applied Materials Traders Expect a Breach of Support
2012-10-15 00:00:00,Weekly Top Insider GEL
2012-10-22 00:00:00,Critical Alerts For Applied Archer Daniels
2012-10-25 00:00:00,Short Macro Weakness Hits Chipmakers ARMH
2012-11-01 00:00:00,Largest option buying in equities so far
