2010-11-19 00:00:00,FDA Approves XGEVA For Prevention Of Events In Patients With Bone Metastases From Solid Tumors
2011-01-18 00:00:00,Boehringer Ingelheim to Purchase Fremont Facility
2011-03-18 00:00:00,Europeans Decline To Recommend Drug
2011-04-20 00:00:00,Reaffirms FY 2011 Guidance
2011-04-21 00:00:00,and UCB SA Announce Positive Phase 2 Results of AMG in Patients With Postmenopausal Osteoporosis
2011-06-24 00:00:00,US FDA urges caution on And Johnson Johnson Anemia
2011-07-15 00:00:00,Receives Marketing Authorization In European Union For XGEVA
2011-07-29 00:00:00,Sees FY 2011 Guidance At High End Of Prior Guidance
2012-04-24 00:00:00,Announces Second Quarter Dividend
2012-04-25 00:00:00,To Acquire Mustafa Nevzat Pharmaceuticals
2012-07-26 00:00:00,Raises FY 2012 Guidance
2012-09-06 00:00:00,Amgen Inc Reaffirms FY 2012 Call
2012-10-24 00:00:00,Updates FY12 Earnings Guidance
2012-11-05 00:00:00,Credit Suisse Gives Outperform Rating to Amgen
2012-11-07 00:00:00,RBC Capital Reaffirms Outperform Rating on Amgen
