2010-11-10 00:00:00,Aon Aon Risk Solutions Launches Global Energy Risk Engineering Unit
2011-01-26 00:00:00,Fitch Ratings Aon Outlook Stable
2011-04-13 00:00:00,Aon Corporation Declares Quarterly Dividend
2011-07-19 00:00:00,Aon Corporation Acquires Ward Financial Group
2012-02-27 00:00:00,Aon Aon Affinity Announces Definitive Agreement To Acquire Access Plans
2012-07-02 00:00:00,ABN Amro Bank NV Completes Sale of Insurance Unit to Aon
2012-10-11 00:00:00,Aon Aon Announces Third Quarter 2012 Earnings Release and
2012-10-12 00:00:00,Aon PLC Declares Quarterly Cash Dividend
2012-10-22 00:00:00,Aon Aon Hewitt To Acquire Workday Services Company
2012-10-25 00:00:00,Aon Closes Patent Risk Gap With Exclusive Patent Risk Management Solution
2012-10-26 00:00:00,Aon Management Discusses Q3 2012 Results Earnings Call Transcript
2012-11-01 00:00:00,Sandy Seen Lifting Insurance Prices Amid
2012-11-06 00:00:00,AON PLC Aon Benfield launches Swiss flood model with latest regional hazard
