2010-12-06 00:00:00,Amphenol Executive Chairman To Retire Effective January 8K
2011-01-26 00:00:00,Amphenol Announces First Quarter 2011 Dividend Payment
2011-04-20 00:00:00,Amphenol Issues FY 2011 Revenue Guidance Above Estimates
2011-07-28 00:00:00,Amphenol Announces Third Quarter 2011 Dividend Payment
2011-10-27 00:00:00,Amphenol Announces Fourth Quarter 2011 Dividend Payment And Quarterly Dividend Increase For 2012
2012-01-18 00:00:00,Amphenol Issues FY 2012 Guidance Above Estimates
2012-04-26 00:00:00,Amphenol Announces Second Quarter 2012 Dividend Payment and Quarterly Dividend Increase For 2012
2012-07-18 00:00:00,Amphenol Issues Q3 2012 Guidance Above Raises FY 2012 Guidance
2012-10-12 00:00:00,Amphenol Third Quarter Earnings Sneak Peek
2012-10-15 00:00:00,Declared Compelling and 4 Stock Analyses Sparking Chatter
2012-10-17 00:00:00,Market F
2012-10-18 00:00:00,Ethernet TeraFabric Plugfest Addresses Need for Greater
2012-10-22 00:00:00,Amphenol Upgraded to Buy at Cross Research
2012-10-25 00:00:00,Amphenol Corp Announces Fourth Quarter 2012 Dividend
2012-11-06 00:00:00,Ethernet Alliance Lays Out Path to Supercomputing Success with
