2010-11-10 00:00:00,Ascent Solar Announces Public Offering Of Common Stock
2010-11-11 00:00:00,Ascent Solar Prices Public Offering Of Common Stock
2010-11-16 00:00:00,Ascent Solar Announces Completion of Public Offering of Common Stock
2011-01-27 00:00:00,Ascent Solar Signs Distribution Agreement with Green Earth Energy and Technology of Belgium
2011-02-03 00:00:00,Ascent Solar Signs Distribution Agreement With SW Solarwatt LTD
2011-03-31 00:00:00,Ascent Solar Announces Management Changes
2012-04-02 00:00:00,TFG Radiant Investment Group Increases Ownership In Ascent Solar
2012-10-09 00:00:00,Magnolia Solar Awarded Phase II STTR Program by
2012-10-15 00:00:00,Ascent Solar Announces Product Launch with CTC GmbH
2012-10-17 00:00:00,Just add items to create a portfolio
2012-10-22 00:00:00,Facebook Next Indian ASTI
2012-10-24 00:00:00,Colorado Good Times shares up
2012-10-26 00:00:00,Colorado stock up
