2010-12-08 00:00:00,AvalonBay Declares Fourth Quarter 2010 Dividends
2011-02-02 00:00:00,AvalonBay Issues FY 2011 FFO Guidance Above Issues Q1 2011 FFO Guidance Below Estimates
2011-05-12 00:00:00,AvalonBay Declares Second Quarter 2011 Dividends
2011-07-27 00:00:00,AvalonBay Issues Q3 2011 FFO Guidance In Line With Lowers FY 2011 FFO Guidance
2011-09-15 00:00:00,AvalonBay Declares Third Quarter 2011 Dividends
2011-10-31 00:00:00,AvalonBay Issues Q4 2011 FFO Guidance Below Lowers FY 2011 FFO Guidance
2012-02-01 00:00:00,AvalonBay Issues Q1 FFO Guidance Below Issues FY 2012 FFO Guidance In Line With Announces First Quarter 2012 Dividend
2012-10-09 00:00:00,Apartment Owners See Profit Potential in Pooches
2012-10-12 00:00:00,AvalonBay Communities Downgraded by RBC Capital to
2012-10-16 00:00:00,Home Properties Highest Yield In The Apartment REITs
2012-11-02 00:00:00,AvalonBay Communities Breaks Above Moving Average Bullish for AVB
2012-11-05 00:00:00,AvalonBay Communities Stock Rating Reaffirmed by Barclays Capital
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
