2011-11-15 00:00:00,AvalonBay Declares Fourth Quarter 2011 Dividends
2012-02-01 00:00:00,AvalonBay Issues Q1 FFO Guidance Below Issues FY 2012 FFO Guidance In Line With Announces First Quarter 2012 Dividend
2012-04-25 00:00:00,AvalonBay Issues Q2 2012 FFO Guidance In Line With Estimates
2012-05-23 00:00:00,AvalonBay Declares Second Quarter 2012 Dividends
2012-09-07 00:00:00,AvalonBay Communities Inc Declares Third Quarter 2012 Dividends
2012-10-10 00:00:00,Stock Downgrades for 10th CCE
2012-10-16 00:00:00,Home Properties Highest Yield In The Apartment REITs
2012-10-19 00:00:00,Avalonbay Communities Third Quarter Earnings Sneak Peek
2012-10-24 00:00:00,Earnings Report for October 2012 AMP
2012-10-31 00:00:00,Equity Ratings Changes for October ANDE
2012-11-02 00:00:00,AvalonBay Communities Breaks Above Moving Average Bullish for AVB
