2010-12-14 00:00:00,Comments On FY 2011 Reaffirms FY 2010 EPS Guidance
2011-01-31 00:00:00,Comments On Q1 2011 Revenue Issues Q1 2011 EPS Guidance In Line With Call
2011-04-21 00:00:00,Comments On Q2 2011 Revenue Issues Q2 2011 EPS Guidance Below Call
2011-06-30 00:00:00,C R Bard Inc In Deal To Settle Hernia Sees Million Q2 2011 Charge
2011-07-22 00:00:00,C R Bard Inc Comments On Q3 2011 Revenue Issues Q3 2011 EPS Guidance In Line With Reaffirms FY 2011 EPS Call
2011-08-01 00:00:00,C R Bard Inc Announces Retirement Of Chief Financial Officer
2011-12-14 00:00:00,C R Bard Inc Declares Quarterly Dividend
2011-12-20 00:00:00,C R Bard Inc Acquires
2012-02-01 00:00:00,C R Bard Inc Comments On Q1 2012 Revenue Issues Q1 2012 EPS Guidance In Line With Call
2012-04-18 00:00:00,C R Bard Inc Declares Quarterly Dividend
2012-06-13 00:00:00,C R Bard Inc Announces Million Share Repurchase Increases Quarterly Dividend
2012-10-18 00:00:00,CR Bard Third Quarter Earnings Sneak Peek
2012-10-19 00:00:00,Coming CR Bard Earnings
2012-10-23 00:00:00,Earnings ANEN
2012-10-24 00:00:00,HOT STOCK HOT STOCKS TO WATCH
2012-10-25 00:00:00,Barclays Capital Reiterates Overweight on Bard
2012-10-26 00:00:00,Investment Ratings Reiterations for 26th BIIB
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
