2011-04-28 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2011-05-25 00:00:00,Terra PLC Hires Baker Hughes For Development Of Russian Oil Fields
2011-07-28 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2011-08-11 00:00:00,Baker Hughes Announces Pricing of Million of Senior Notes
2011-09-01 00:00:00,Baker Hughes Acquires Equity Stake In Verdande Energy
2012-01-26 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2012-07-26 00:00:00,Baker Hughes Declares Quarterly Dividend
2012-10-11 00:00:00,Baker Should You Bet On The
2012-10-16 00:00:00,Baker Hughes Third Quarter Earnings Sneak Peek
2012-10-18 00:00:00,Baker Hughes Earnings Should Improve On Higher Oil Prices
2012-10-23 00:00:00,Baker Inside The Numbers
2012-11-01 00:00:00,Research Recent Ratings Updates for Baker Hughes
2012-11-07 00:00:00,Baker Hughes Announces October 2012 Rig Counts
