2011-01-27 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2011-04-28 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2011-05-25 00:00:00,Terra PLC Hires Baker Hughes For Development Of Russian Oil Fields
2011-08-11 00:00:00,Baker Hughes Announces Pricing of Million of Senior Notes
2012-01-26 00:00:00,Baker Hughes Declares Regular Quarterly Dividend
2012-07-26 00:00:00,Baker Hughes Declares Quarterly Dividend
2012-10-11 00:00:00,Baker Hughes Investment Weekly Ratings Changes
2012-10-12 00:00:00,BAKER HUGHES INCORPORATED Gas Rig Count Down 15 in Week to
2012-10-16 00:00:00,Baker Hughes Third Quarter Earnings Sneak Peek
2012-10-18 00:00:00,Baker Hughes Earnings Should Improve On Higher Oil Prices
2012-10-25 00:00:00,Baker Hughes Inc Declares Quarterly Dividend
2012-11-01 00:00:00,Research Recent Ratings Updates for Baker Hughes
2012-11-05 00:00:00,Baker Hughes Inc and CGGVeritas SA Collaborate on Shale Reservoir Exploration
