2010-12-09 00:00:00,Robinson Increases Its Quarterly Cash Dividend
2011-02-10 00:00:00,Robinson Declares Quarterly Cash Dividend
2011-08-11 00:00:00,Robinson Declares Quarterly Cash Dividend
2012-05-10 00:00:00,Robinson Declares Quarterly Cash Dividend
2012-08-10 00:00:00,CH Robinson Worldwide Inc Declares Quarterly Cash Increases Share Repurchase Authorization
2012-09-25 00:00:00,CH Robinson Worldwide Inc Announces To Acquire Phoenix
2012-10-16 00:00:00,CH Robinson Worldwide Inc Announces Sale Of Systems To Electronic Funds LLC For Million
2012-10-17 00:00:00,Equity Ratings Changes for October DBD
2012-10-23 00:00:00,Whisper Number Earnings Preview For Netflix And CH Robinson
2012-10-26 00:00:00,Robinson Worldwide Investment Weekly Ratings
2012-11-01 00:00:00,CH Robinson Worldwide Inc Acquires Phoenix International
2012-11-05 00:00:00,Robinson Worldwide Stock Rating Reaffirmed by FBR Capital
2012-11-06 00:00:00,Yacktman Buys Boosts RIM Stake
