2010-12-01 00:00:00,GENEX Completes Acquisition Of Intracorps Workers Compensation And Disability Case Management Business From CIGNA Corporation
2011-02-03 00:00:00,CIGNA Corporation Issues FY 2011 Net Profit Guidance In Line With EPS Guidance Below Estimates
2011-02-24 00:00:00,CIGNA Corporation Declares Increases Share Repurchase Authority
2011-05-05 00:00:00,CIGNA Corporation Raise FY 2011 Earnings Guidance
2011-08-04 00:00:00,CIGNA Corporation Raises FY 2011 Earnings Outlook
2011-09-22 00:00:00,CIGNA Corporation and Affiliated Florida Hospitals Reachs Two Year Agreement
2011-10-24 00:00:00,CIGNA Corporation To Acquire
2011-11-16 00:00:00,CIGNA Corporation Announces Public Offering Of Common Stock
2011-11-17 00:00:00,CIGNA Corporation Announces Pricing of Common Stock Offering
2012-02-02 00:00:00,CIGNA Corporation Issues FY 2012 Earnings Guidance
2012-05-03 00:00:00,CIGNA Corporation Raises FY 2012 Earnings Guidance
2012-07-24 00:00:00,Tenet Healthcare Corp Announces National Agreement with Cigna Corp
2012-08-02 00:00:00,Cigna Corp Raises FY 2012 EPS Guidance
2012-10-16 00:00:00,CIGNA CORPORATION Wellness and Health Promotion Programs
2012-10-31 00:00:00,CIGNA CORPORATION Cigna Expands Group Voluntary Product Offerings
2012-11-01 00:00:00,Cigna Corp Raises FY 2012 Earnings Guidance
2012-11-02 00:00:00,Wedbush Securities Reiterates Neutral Raises PT on CIGNA
2012-11-07 00:00:00,Cigna and Connecticut Medical Center Renew Network Agreement
