2010-11-10 00:00:00,Computer Sciences Lowers FY 2011 Revenue Raises FY 2011 EPS Guidance
2010-11-11 00:00:00,Computer Sciences Licenses Exceed Billing Software To Shelter Insurance
2010-11-16 00:00:00,Computer Sciences Signs Three Year IT Services Contract Extension With Textron
2010-12-15 00:00:00,Computer Sciences Secures Contract
2011-01-31 00:00:00,Computer Sciences Secures Contract To Support Department Of Labor Office Of Compensation Programs
2011-02-03 00:00:00,Computer Sciences Launches CSC BizCloud
2011-02-09 00:00:00,Computer Sciences Lowers FY 2011 Guidance
2011-04-13 00:00:00,Computer Sciences Announces Million IT Services Contract Extension With Tryg
2011-05-04 00:00:00,Computer Sciences Secures Contract
2011-05-26 00:00:00,Computer Sciences Receives Million Postal Service Logistics Contract
2011-06-06 00:00:00,Computer Sciences Acquires VIXIA Consultoria e Tecnologia
2011-07-12 00:00:00,Computer Sciences Wins Contract To Provide Hosted Insurance Processing Platform For Swiss Re
2011-07-15 00:00:00,Gardy LLP Files Class Action Lawsuit On Behalf Of Purchasers Of Computer Sciences
2011-07-28 00:00:00,Computer Sciences Licenses Insurance Industry Data Model To Life Insurance Company
2011-07-29 00:00:00,Computer Sciences And Aria Systems Form Strategic Agreement To Accelerate Cloud Subscription Billing And Recurring Revenue Management
2011-08-08 00:00:00,Computer Sciences Declares Quarterly Cash Dividend
2011-08-29 00:00:00,Computer Sciences Secures Two Postal Service Logistics Contracts Worth Million
2011-10-27 00:00:00,Computer Sciences Wins Million Contract Modification in Support of the NASA Shared Services Center at Stennis Space Center
2011-11-09 00:00:00,Computer Sciences Lowers High End Of Prior FY 2012 Revenue Lowers FY 2012 EPS Guidance
2011-11-15 00:00:00,The Shaw Group And Computer Sciences Secures Joint Venture Award From Navy Base Operations
2011-11-29 00:00:00,Computer Sciences Secures Contract
2011-12-27 00:00:00,Computer Sciences Withdraws FY 2012
2012-02-07 00:00:00,Computer Sciences Announces Management Change
2012-02-15 00:00:00,Computer Sciences Signs Million Annuity Administration ITO Contract Extension with John Hancock Financial
2012-03-19 00:00:00,Computer Sciences Secures Contract To Replace Marylands Medicaid Management Information System
2012-04-16 00:00:00,Computer Sciences Secures Million Task Order To Support Navy Sealift Program Office
2012-07-19 00:00:00,Computer Sciences Corp Signs Agreement With Health And Social Care Information Centre
2012-08-08 00:00:00,Computer Sciences Corp Declares Quarterly Cash Dividend
2012-08-16 00:00:00,Computer Sciences Corp Wins Million IT and Information Management Task Order
2012-09-10 00:00:00,Computer Sciences Corp Signs Contract Extension With Zurich Insurance Group For Global Application Services
2012-11-01 00:00:00,Computer Sciences Second Quarter Earnings Sneak Peek
2012-11-02 00:00:00,Forbes Earnings Computer Sciences
2012-11-06 00:00:00,Computer Sciences Corp Raises FY 2013 EPS Call
