2011-02-23 00:00:00,Dollar Issues FY 2011 Guidance Above Comments On FY 2011 Comparable Store Sales Guidance
2011-08-18 00:00:00,Dollar Issues Q3 2011 Guidance In Line With Narrows FY 2011 Revenue Raises FY 2011 EPS Guidance
2011-11-17 00:00:00,Dollar Issues Q4 2011 Guidance In Line With Comments On Q4 2011 Comparable Store Raises High End Of Prior FY 2011 Revenue Raises FY 2011 EPS Guidance
2011-11-22 00:00:00,Dollar Announces Million Accelerated Share Repurchase
2012-05-17 00:00:00,Dollar Issues Q2 2012 EPS Guidance Below Raises FY 2012 Comments On 2012 Comparable Store Sales Guidance
2012-08-16 00:00:00,Dollar Tree Inc Issues Q3 2012 Guidance Below Narrows FY 2012 Revenue Lowers FY 2012 EPS Reaffirms FY 2012 Comparable Store Sales Guidance
2012-10-10 00:00:00,Equity Ratings Changes for October DLTR
2012-10-11 00:00:00,Dollar A Good Buy On The Dip
2012-10-12 00:00:00,Dollar Tree Declares Q3 Sales at Lower End of Earlier
2012-10-15 00:00:00,JPMorgan Chase Lowers Price Target on Dollar Tree
2012-10-17 00:00:00,Dollar Inc Graphs Growth Stock For 2012
2012-10-19 00:00:00,Call Spread Purchased on Dollar Tree
2012-10-22 00:00:00,Recent Ratings Updates for Dollar Tree
2012-10-24 00:00:00,Dollar Tree Rating Increased to Buy at Goldman Sachs
2012-10-26 00:00:00,Dollarama Outperforms as Retail Corporate Canada
2012-11-05 00:00:00,Timing is Upside Analysis New Outlook on Dollar General Corporation
