2011-05-04 00:00:00,Devon Energy Corporation Issues Q2 2011 Production Call
2011-05-11 00:00:00,BP plc Receives Approval To Complete Purchase Of Exploration And Production Blocks In Brazil From Devon Energy Corporation
2011-06-08 00:00:00,Devon Energy Corporation Announces Third Quarter Cash Dividend for Common Stockholders
2011-08-03 00:00:00,Devon Energy Corporation Raises Low End Of Prior FY 2011 Production Call
2011-09-14 00:00:00,Devon Energy Corporation Announces Fourth Quarter Cash Dividend for Common Stockholders
2012-05-02 00:00:00,Devon Energy Corporation Comments On Q4 2012 Oil Production Comments On H2 2012 Revenue Reaffirms FY 2012 Production Call
2012-06-06 00:00:00,Devon Energy Corporation Announces Third Quarter Cash Dividend For Common Stockholders
2012-08-01 00:00:00,Devon Energy Corporation Announces Billion Joint Venture
2012-10-08 00:00:00,Sanford Bernstein Gives market perform Rating to Devon Energy
2012-10-24 00:00:00,3 Reasons To Purchase Devon Now For Investment
2012-10-25 00:00:00,Stocks Poised to Devon Energy
2012-10-31 00:00:00,Devon Energy to Webcast 2012 Earnings Conference Call
2012-11-01 00:00:00,Devon Recent Risky Or
2012-11-02 00:00:00,Should Carl Icahn Move On From
2012-11-05 00:00:00,A Deeper Look At Commodity Industry
