2011-01-12 00:00:00,Dominion Options PPG Industries Site for Planned Natural Gas Processing Facility
2011-01-21 00:00:00,Dominion Declares Quarterly Dividend
2011-10-21 00:00:00,Dominion Declares Quarterly Dividend
2012-08-10 00:00:00,Dominion Declares Quarterly Dividend of
2012-10-10 00:00:00,Equity Ratings Changes for October DLTR
2012-10-18 00:00:00,Dominion Declares Quarterly Dividend
2012-10-19 00:00:00,D Added as Top 10 Utility Dividend Stock With Yield
2012-10-22 00:00:00,Dominion Resources Inc To Close Nuclear
2012-10-23 00:00:00,D Dividend Yield Pushes Past
2012-11-02 00:00:00,DOMINION Dominion Virginia Power Joins Utilities
2012-11-07 00:00:00,Dominion Resources Stock Getting Very Oversold
