2011-01-14 00:00:00,eBay Completes Acquisition of Brands4friends
2011-01-19 00:00:00,eBay Issues Q1 2011 Guidance In Line With Issues FY 2011 Guidance Above Estimates
2011-02-10 00:00:00,eBay Issues Long Term Guidance
2011-02-15 00:00:00,eBay Introduces Its Application On Telefonica
2011-04-27 00:00:00,eBay Issues Q2 2011 Revenue Guidance Above Raises FY 2011 Guidance
2011-06-29 00:00:00,EBay Auction Merger With eBay Unit Scheduled For August
2011-07-06 00:00:00,South Antitrust Regulator OKs eBay Plan To Merge Korean
2011-07-07 00:00:00,eBay To Acquire Zong For Million cash
2011-07-14 00:00:00,Judge Rules eBay Must Face Craigslist
2011-07-20 00:00:00,eBay Issues Q3 2011 Guidance Above Raises FY 2011 Guidance
2011-08-30 00:00:00,eBay Looking At Acquisition Targets In
2011-10-19 00:00:00,eBay Issues Q4 2011 Guidance In Line With Raises Low End Of Prior FY 2011 Revenue Raises FY 2011 EPS Guidance
2011-12-22 00:00:00,eBay Announces Acquisition Of BillSAFE
2012-02-27 00:00:00,eBay Announces New Partnerships
2012-05-08 00:00:00,PRIMEDIA Completes Acquisition Of From eBay Inc
2012-06-21 00:00:00,eBay Inc To Power Data Center With Renewable
2012-07-20 00:00:00,eBay Inc Prices Billion Senior Unsecured Notes Offering
2012-08-17 00:00:00,Tata Motors Ltd To Sell Nano Merchandise On Ebay Economic Times
2012-10-23 00:00:00,EBay Teams Up With FedEx on Shipping to Compete With Amazon
2012-11-02 00:00:00,EBay Is Said to Plan China Push Through Partnership With
2012-11-05 00:00:00,eBay Hacked for November 5th Remembrance
