2010-11-12 00:00:00,To Acquire Solutions In Cash Deal
2010-11-19 00:00:00,Campbell Brothers Limited Obtains Regulatory Clearance For Sale Of Chemical And Cleaning Solutions Business To Ecolab Pty Ltd
2011-03-04 00:00:00,Closes On Purchase Of Solutions
2011-03-21 00:00:00,Launches New Blue Coral Foaming Fragrances
2011-06-27 00:00:00,And Proventix Systems Form Strategic Alliance For Automated Hand Hygiene Compliance Monitoring
2011-08-29 00:00:00,Nalco Holding Company Receives Early Termination of HSR Waiting Period for Merger with Ecolab
2011-09-06 00:00:00,Announces Share Repurchase Plan
2011-09-08 00:00:00,Arranges Committed Bank Financing
2011-10-25 00:00:00,Narrows FY 2011 EPS Guidance To A Range In Line With Comments On FY 2011 Charge Comments On Q4 2011 Sales Guidance
2011-10-28 00:00:00,Announces Agreement for Million Senior Notes
2011-12-05 00:00:00,Announces Acquisition Of Esoform
2012-02-24 00:00:00,Declares Regular Dividend
2012-03-08 00:00:00,Ecolab Inc Acquires Econ Indstria E Comrcio De Produtos De Higiene E Limpeza
2012-06-12 00:00:00,Comments On FY 2013 EPS Comments On Long Term EPS Growth Call
2012-06-26 00:00:00,Collaborates With Chinas State Food And Drug Administration To Provide Food Safety Training
2012-08-09 00:00:00,Ecolab Inc Completes Bond Financing
2012-09-12 00:00:00,Ecolab Inc Reaffirms FY 2012 EBITDA Call
2012-10-08 00:00:00,Ecolab Awards to Teachers Through Visions for Learning National
2012-10-18 00:00:00,Ecolab closing Grand Forks office
2012-10-24 00:00:00,Ecolab to Divest Vehicle Care Unit Analyst Blog
2012-10-25 00:00:00,Recent Investment Ratings Updates for Ecolab
2012-11-02 00:00:00,Jefferies Boosts Price Target on Ecolab to
