2011-07-21 00:00:00,Consolidated Declares Common Stock Dividend
2011-10-20 00:00:00,Consolidated Declares Common Stock Dividend
2011-10-25 00:00:00,Fitch Affirms Ratings of Consolidated and Subsidiaries at Outlook Stable
2011-11-03 00:00:00,Consolidated Raises Low End Of Prior FY 2011 EPS Guidance To A Range In Line With Estimates
2012-04-19 00:00:00,Consolidated Declares Common Stock Dividend
2012-07-30 00:00:00,Consolidated Declares Common Stock Dividend
2012-07-31 00:00:00,Consolidated Consolidated Completes Acquisition Of Solar Projects From Energy Holdings GCL Solar Energy
2012-08-02 00:00:00,Consolidated Reaffirms FY 2012 EPS Guidance
2012-10-26 00:00:00,ED Crosses Above Key Moving Average Level
2012-10-31 00:00:00,More than 760000 Con Ed customers in NYC still without power
2012-11-02 00:00:00,CONSOLIDATED Con 570000 customers still without power
