2010-12-08 00:00:00,EarthLink Completes ITC DeltaCom Acquisition
2011-02-08 00:00:00,EarthLink Issues FY 2011 Earnings Guidance
2011-03-02 00:00:00,EarthLink Completes Acquisition of STS Telecom
2011-04-01 00:00:00,EarthLink Completes Acquisition Of One Communications
2011-04-28 00:00:00,EarthLink Updates FY 2011 Earnings Guidance
2011-05-12 00:00:00,EarthLink Prices Million Of Senior Notes Due 2019
2011-07-20 00:00:00,EarthLink Declares Quarterly Dividend Of per Share
2011-08-30 00:00:00,Milwaukee Public Schools Selects EarthLink Business For Communications Services
2011-11-07 00:00:00,World Telecom Group Signs New EarthLink Business Agreement
2012-07-18 00:00:00,Earthlink Inc Declares Quarterly Dividend Of Per Share
2012-10-02 00:00:00,Launches Comparison Marketplace for Telecom Deals
