2011-03-01 00:00:00,Eastman Chemical Company Raises FY 2011 EPS Comments On Long Term EPS Issues FY 2013 EPS Guidance Above Estimates
2011-06-22 00:00:00,Sterling To Be Acquired By Eastman Chemical Company
2011-07-28 00:00:00,Eastman Chemical Company Issues Q3 2011 EPS Guidance Below Raises FY 2011 EPS Guidance
2011-08-03 00:00:00,Eastman Chemical Subsidiary Acquires Assets Of LLC
2011-08-05 00:00:00,Eastman Chemical Company Increases Quarterly Cash Dividend
2011-08-09 00:00:00,Eastman Chemical Company Completes Acquisition of Sterling
2011-09-01 00:00:00,Eastman Chemical Company Acquires Scandiflex
2012-10-08 00:00:00,US HOT Green Alliance Eastman Chemical
2012-10-09 00:00:00,Option Volume Expected Upside in Eastman Chemical
2012-10-10 00:00:00,The Chemical Industry Focuses on Agriculture
2012-10-22 00:00:00,Eastman Chemical Third Quarter Earnings Sneak Peek
2012-10-23 00:00:00,EASTMAN CHEMICAL COMPANY Eastman to Showcase Cutting Edge Glass
2012-10-24 00:00:00,Color and Architecture Celebrated
2012-10-25 00:00:00,Whisper Number Earnings Preview For Eastman Chemical And
