2011-01-05 00:00:00,Family Dollar Narrows FY 2011 EPS Reaffirms FY 2011 Revenue and Comparable Store Sales Issues Q2 2011 EPS Comments On Q2 2011 EBIT and Store Sales Outlook
2011-01-20 00:00:00,Family Dollar Increases Regular Quarterly Dividend By
2011-01-25 00:00:00,Family Dollar Prices Million of Senior Unsecured Notes
2011-05-11 00:00:00,Family Dollar Declares Regular Quarterly Dividend
2011-08-12 00:00:00,Family Dollar Declares Regular Quarterly Dividend
2011-11-15 00:00:00,Family Dollar Declares Regular Quarterly Dividend
2012-01-19 00:00:00,Family Dollar Increases Regular Quarterly Dividend By
2012-06-28 00:00:00,Family Dollar Issues Q4 2012 EPS Comments On Q4 2012 Comparable Store Sales Narrows FY 2012 EPS Updates FY 2012 Comparable Store Sales Guidance
2012-09-04 00:00:00,Family Dollar Stores Inc Declares Regular Quarterly Dividend
2012-10-17 00:00:00,Notable And Insider Sells Filed On October 16
2012-10-19 00:00:00,Family Dollar Stores Daily Volume Report
2012-10-26 00:00:00,Family Dollar Stores Stock Rating Reaffirmed by Barclays Capital
2012-10-31 00:00:00,Insiders Sold These Stocks on
