2010-11-23 00:00:00,Gilead Submits New Drug Application To FDA For Regimen Of Truvada And TMC278 For HIV
2011-02-07 00:00:00,Gilead Announces Notification of ANDA Filing for Tamiflu
2011-02-22 00:00:00,Gilead To Acquire Calistoga Pharmaceuticals For Million
2011-08-08 00:00:00,Gilead To Purchase Biologics Process Research And Clinical Manufacturing Facility From Genentech
2011-08-10 00:00:00,Food and Drug Administration Approves Gilead Complera
2011-11-21 00:00:00,Gilead to Acquire for Billion
2012-02-17 00:00:00,Gilead Announces Data For Genotype 1 Null Responder Hepatitis C Patients Enrolled In ELECTRON Study
2012-05-01 00:00:00,Gilead Initiates Phase 3 Clinical Trial Evaluating For Treatment Of Chronic Lymphocytic Leukemia
2012-10-23 00:00:00,Gilead Sciences Inc Raises FY 2012 Product Sales Call
2012-10-25 00:00:00,Buy Gilead HIV And Hepatitis Drugs To Drive Growth
