2010-11-15 00:00:00,Genuine Parts Company Declares Regular Quarterly Dividend
2011-02-03 00:00:00,Genuine Parts Company Acquires Brown of
2011-07-15 00:00:00,Genuine Parts Company Reaffirms FY 2011 Revenue Raises FY 2011 EPS Call
2011-08-15 00:00:00,Genuine Parts Company Declares Regular Quarterly Dividend
2011-09-01 00:00:00,Genuine Parts Electrical Announces Acquisition of Cobra Wire
2011-09-26 00:00:00,Exego Group Announces Ownership Interest Of Genuine Parts Company
2011-10-18 00:00:00,Genuine Parts Company Raises FY 2011 Call
2012-02-28 00:00:00,Genuine Parts Company Announces Proposed Acquisition Of NAPA Distributor
2012-07-19 00:00:00,Genuine Parts Company Reaffirms FY 2012 Revenue Raises FY 2012 EPS Call
2012-10-12 00:00:00,2 Dividend Stocks to Watch Right Now
2012-10-15 00:00:00,Genuine Parts Third Quarter Earnings Sneak Peek
2012-10-16 00:00:00,Wunderlich Gives hold Rating to Genuine Parts Company
2012-10-17 00:00:00,Earnings Genuine Parts Analyst Blog
2012-10-23 00:00:00,Former GPC Exec Larry Samuelson Establishes New Executive Coaching Firm
2012-11-01 00:00:00,Advance Auto explores sale to private sources
2012-11-06 00:00:00,5 Dividend Stocks To Buy And Not Buy And Forget
