2010-11-08 00:00:00,Halliburton Company Announces Dividend Declaration
2011-04-11 00:00:00,Halliburton Company Receives Contract
2011-04-14 00:00:00,Halliburton Company Secures Integrated Well Services Contract From Statoil in Norway
2011-05-19 00:00:00,Halliburton Company Announces Dividend Declaration
2011-09-02 00:00:00,Halliburton Company Files Lawsuit Against BP plc
2011-09-06 00:00:00,Halliburton Company Enters Into Agreement to Acquire LLC
2011-09-14 00:00:00,Spill probe faults BP Transocean And Halliburton
2012-02-10 00:00:00,Halliburton Company And PETRONAS Carigali Collaborate For Evaluation And Development Of Shale Resources
2012-05-16 00:00:00,Halliburton Company Declares Dividend
2012-09-04 00:00:00,Halliburton Co Issues Q3 2012 Revenue Guidance Below Call
2012-10-15 00:00:00,Forbes Earnings Halliburton
2012-10-25 00:00:00,Halliburton Stock Rating Reaffirmed by Zacks
2012-10-26 00:00:00,Equity Ratings Changes for October HOT
2012-11-05 00:00:00,Halliburton Company Market Digest
