2010-11-18 00:00:00,Harman International Provides Harman Kardon Audio System
2011-01-05 00:00:00,Harman International And Sierra Wireless Collaborate To Bring Broadband Connectivity
2011-01-10 00:00:00,Harman International And Nuance Announce Collaboration
2011-04-19 00:00:00,Harman International Secures Contract From BYD Motors Of China And Daimler Joint Venture Company
2011-06-30 00:00:00,Harman International Increases Annual Divided By
2011-10-21 00:00:00,Harman International Announces Quarterly Cash Dividend
2011-10-26 00:00:00,Harman International Issues FY 2012 EPS Guidance Above Raises FY 2013 Revenue Tightens FY 2013 EPS Authorizes Share Buyback Program
2011-11-28 00:00:00,Harman International Gets Ratings Upgrade and Positive Outlook from Standard
2011-12-15 00:00:00,Harman International Wins BMW Contract For New Audio Systems
2012-02-07 00:00:00,Harman International Industries Inc Announces Quarterly Cash Dividend
2012-08-10 00:00:00,Harman International Industries Inc Announces Quarterly Cash Dividend
2012-10-11 00:00:00,HARMAN INTERNATIONAL INDUSTRIES Investors Services
2012-10-15 00:00:00,HARMAN Announces Repayment of its Convertible Notes due October 2012
2012-10-18 00:00:00,HARMAN INTERNATIONAL INDUSTRIES HARMAN to Announce
2012-10-25 00:00:00,Harman International Industries Inc Announces Extension To Share Buyback Program
2012-11-01 00:00:00,HARMAN INTERNATIONAL INDUSTRIES Joins Aha
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
