2010-11-30 00:00:00,Obtains Permanent Injunction from Buzz Bee Toys for Patent Infringement
2011-01-13 00:00:00,Magma Signs Distribution Agreement With
2011-01-14 00:00:00,Issues Q4 2010 Revenue Guidance Below Issues FY 2010 Revenue Guidance Below Comments On FY 2010 EPS Reaffirms FY 2011 Guidance
2011-07-18 00:00:00,Comments On FY 2011 Guidance
2011-10-17 00:00:00,Reaffirms FY 2011 Guidance
2012-01-17 00:00:00,Issues FY 2011 EPS Guidance Below Issues Q4 2011 Revenue Guidance In Line With Estimates
2012-02-06 00:00:00,Hasbro Inc Comments On FY 2012 And Long Term EBIT Call
2012-02-09 00:00:00,Hasbro Zynga Inc Partner To Make
2012-04-24 00:00:00,Hasbro Inc Comments On FY 2012 Call
2012-07-17 00:00:00,DeNA and Hasbro Inc Team to Bring TRANSFORMERS Games to Mobile Devices Worldwide
2012-07-23 00:00:00,Hasbro Inc Comments On H2 2012 Revenue Comments On Q4 2012 Guidance
2012-10-12 00:00:00,Hasbro Reveals TRANSFORMERS PRIME BEAST HUNTERS at New York
2012-10-15 00:00:00,Equity Ratings Changes for October IBM
2012-10-18 00:00:00,Hasbro Licensing Expanding in European Markets
2012-10-22 00:00:00,Earnings ZION
2012-10-23 00:00:00,Hasbro Earnings Call Games Transformers and Beyblades
2012-11-02 00:00:00,The Battle Orlando Just Announced
2012-11-06 00:00:00,Stocks Crossing SMA
