2010-11-10 00:00:00,Health Care Announces Pricing Of Million Of Senior Notes Due 2021
2010-11-30 00:00:00,Health Care Announces Proposed Offering Of Shares Of Common Stock
2010-12-06 00:00:00,Health Care Completes Million Common Stock Offering
2011-07-28 00:00:00,Health Care Declares Second Quarter Dividend
2011-08-04 00:00:00,Health Care Narrows FY 2011 FFO Guidance To A Range In Line With Estimates
2011-11-09 00:00:00,Health Care Completes Million Common Stock Offering
2011-11-10 00:00:00,Health Care Lowers FY 2011 FFO Guidance
2012-02-16 00:00:00,Health Care Issues FY 2012 FFO Guidance In Line With Estimates
2012-02-21 00:00:00,Health Care Announces Proposed Offering Of 18 Million Shares Of Common Stock
2012-02-22 00:00:00,Health Care Announces Pricing of Shares of Common Stock At Per Share
2012-02-27 00:00:00,Health Care Completes Billion Common Stock Offering
2012-02-29 00:00:00,Health Care Announces Pricing Of Series J Cumulative Redeemable Preferred Stock
2012-03-08 00:00:00,Health Care Lowers FY 2012 FFO Guidance
2012-05-24 00:00:00,Health Care Completes New CAD250 Million Unsecured Term Loan
2012-08-07 00:00:00,Health Care Announces Pricing Of Shares Of Common Stock At Per Share
2012-08-10 00:00:00,Health Care Reit Inc Completes Million Common Stock Offering
2012-08-22 00:00:00,Sunrise Senior Living Inc Signs Definitive Agreement To Be Acquired By Health Care REIT
2012-09-18 00:00:00,Health Care Reit Inc Announces Proposed Offering Of Shares Of Common Stock
2012-09-24 00:00:00,Health Care Reit Inc Completes Billion Common Stock Offering
2012-10-23 00:00:00,Medical Properties Acute Care For Your Portfolio
2012-10-25 00:00:00,Health Care Reit Inc Declares Third Quarter 2012 Dividend
2012-10-26 00:00:00,LXK Dividend Stocks Update
2012-11-01 00:00:00,5 Dividend Plays for Investors
2012-11-05 00:00:00,Earnings Report for November 2012 MRO
