2011-01-19 00:00:00,Announces Proposed Senior Unsecured Notes Offering
2011-03-15 00:00:00,Enters Into Billion Credit Facility Raises FY 2011 FFO Guidance
2011-03-21 00:00:00,Announces Resignation Of Chief Financial Officer
2011-03-23 00:00:00,Prices Offering Of 30 Million Shares
2011-04-08 00:00:00,Closes Billion Acquisition Of HCR ManorCares Real Estate Assets
2011-05-03 00:00:00,Lowers FY 2011 FFO Guidance
2011-06-01 00:00:00,Responds To Motion For Rehearing Of Court Of Appeals Decision Favoring
2011-08-02 00:00:00,HCP Inc Raises FY 2011 FFO Guidance
2011-10-31 00:00:00,HCP Inc Raises FY 2011 FFO Guidance
2011-11-09 00:00:00,Inc Updates FY 2011 FFO To Receive Million In Settlement From HCP Inc
2012-01-18 00:00:00,HCP Inc Announces Proposed Senior Unsecured Notes Offering
2012-02-14 00:00:00,HCP Inc Issues FY 2012 FFO Guidance Below Estimates
2012-03-22 00:00:00,HCP Inc Prices Offering Of Shares
2012-05-01 00:00:00,HCP Inc Lowers FY 2012 FFO Guidance
2012-07-18 00:00:00,HCP Inc Prices Million Of Senior Unsecured Notes
2012-07-30 00:00:00,HCP Inc Completes GBP137 Million Unsecured Term Loan Fixed At
2012-07-31 00:00:00,HCP Inc Declares Quarterly Cash Dividend
2012-10-17 00:00:00,After Hours Most Active for Oct 2012 PRU
2012-10-25 00:00:00,HCP Inc Declares Quarterly Cash Dividend On Common Stock
2012-11-01 00:00:00,Stifel Nicolaus Gives Buy Rating to HCP
