2010-11-22 00:00:00,Hess Corporation Acquires Additional Bakken Acreage
2010-12-01 00:00:00,Hess Corporation Announces Regular Quarterly Dividend On Common Stock
2010-12-10 00:00:00,Fitch Affirms Hess IDR At Outlook Stable
2010-12-20 00:00:00,Hess Corporation Completes Acquisition of American Oil Gas
2010-12-29 00:00:00,Hess Corporation Completes Acquisition Of Additional Bakken Acreage
2011-01-26 00:00:00,Hess Corporation To Permanently Shut Some Smaller Process Units In First
2011-03-02 00:00:00,Hess Corporation Announces Regular Quarterly Dividend On Common Stock
2011-09-07 00:00:00,CONSOL And Hess Corporation Enter Into Joint Venture For Utica Shale Acreage In Ohio
2011-09-08 00:00:00,Hess Corporation Announces Regular Quarterly Dividend On Common Stock
2011-09-12 00:00:00,Niko Resources Announces Partnership With Hess Corporation
2011-10-26 00:00:00,Hess Corporation Reaffirms FY 2011 Production Call
2012-08-01 00:00:00,Production to Resume on Output Shared by Statoil GDF Suez Hess Total Rwe Dea and
2012-08-03 00:00:00,Snoehvit Plant Shared by Statoil GDF Suez Hess Total Rwe Dea and Petoro Resumes
2012-09-07 00:00:00,Oil and Natural Gas Corporation Ltd Buys Hess Corporation Stake In Azeri Field For
2012-10-25 00:00:00,Hess Corp To Sell Interest In Beryl Assets To Royal Dutch Shell PLC
2012-11-05 00:00:00,East Coast Gasoline Rises as New Jersey Units Still Shut
