2010-12-08 00:00:00,The Hershey Company Announces Proposed Offering Of Notes Due 2020
2011-02-02 00:00:00,The Hershey Company Comments On FY 2011 Increases Quarterly Dividend
2011-05-18 00:00:00,The Hershey Company Appoints John Bilbrey Interim President And Chief Executive Officer
2011-07-26 00:00:00,Hershey Co Raises FY 2011 Guidance
2011-08-02 00:00:00,Hershey Co Declares Quarterly Dividends
2011-10-27 00:00:00,Hershey Co Raises FY 2011 Revenue Reaffirms FY 2011 EPS Comments On FY 2012 Outlook
2011-11-08 00:00:00,Hershey Co Announces Proposed Offering of Notes Due 2016
2012-02-01 00:00:00,Hershey Co Updates FY 2012 Revenue Guidance Above Estimates
2012-04-24 00:00:00,The Hershey Co Raises FY 2012 Guidance
2012-06-25 00:00:00,The Hershey Co Reaffirms FY 2012 Call
2012-08-07 00:00:00,The Hershey Co Declares Quarterly Dividends
2012-10-18 00:00:00,THE HERSHEY COMPANY Named to the Dow Jones Sustainability North
2012-10-19 00:00:00,Child labor concerns across supply chain prove it pays to be proactive
2012-10-22 00:00:00,Hershey Third Quarter Earnings Sneak Peek
2012-10-25 00:00:00,The Hershey Co Increases Quarterly Dividends
2012-10-26 00:00:00,Zacks Reaffirms Neutral Rating on Hershey
2012-10-31 00:00:00,THE HERSHEY COMPANY Hershey Confident About Halloween
2012-11-01 00:00:00,Hershey Shareholders Allege Company Uses Cocoa Produced Through
