2011-01-18 00:00:00,India Tax Authorities Ask Infosys Technologies To Pay Additional INR4
2011-02-24 00:00:00,Infosys Technologies Targets Merger And Acquisitions In To Secure Government
2011-04-25 00:00:00,IndusInd Bank Ties With Infosys Technologies For Finacle Core Banking
2011-05-02 00:00:00,Infosys Technologies Limited To Invest Million On Shanghai
2011-05-24 00:00:00,Infosys Technologies Infosys BPO Unit Receives Order From FaithLife
2011-05-25 00:00:00,Probes Infosys Technologies Over
2011-06-08 00:00:00,Infosys Technologies Limited Acquires Software Solutions Business Of As Part Of Partnership With Telecom Corp of New
2011-06-22 00:00:00,Tata Consultancy Services Infosys And HCL Technologies Looking To Buy Misys plc
2012-07-17 00:00:00,Infosys Infosys BPO Looking For Times
2012-08-09 00:00:00,India Post Selects Infosys Ltd To Transform Financial Services
2012-08-15 00:00:00,Infosys Ltd Reaffirms FY 2013 Revenue Call
2012-09-04 00:00:00,Infosys Ltd Open To
2012-09-10 00:00:00,Infosys Ltd Announces Definitive Agreement To Acquire Lodestone Holding AG
2012-09-24 00:00:00,Infosys Ltd Fixes Record Date For Interim Dividend
2012-10-15 00:00:00,BMO Capital Markets Raises Price Target on Infosys Technologies Ltd
2012-10-22 00:00:00,Infy completes acquisition of Lodestone
