2011-01-07 00:00:00,Intuit Reiterates FY 2011 Guidance
2011-02-17 00:00:00,Intuit Reiterates FY 2011 EBIT Raises FY 2011 EPS Issues Q3 2011 Guidance In Line With Estimates
2011-06-27 00:00:00,Intuit Buys Technology To Accelerate Mobile
2012-02-21 00:00:00,Intuit Announces Quarterly Dividend
2012-04-19 00:00:00,Intuit And Other Technology Companies Fail To Dismiss
2012-04-27 00:00:00,Intuit To Acquire Demandforce
2012-05-18 00:00:00,Intuit Completes Acquisition Of Demandforce
2012-08-21 00:00:00,Intuit Inc Increases Quarterly Cash Dividend
2012-10-04 00:00:00,8 Stocks to go on October 2012 GPS
2012-10-05 00:00:00,General Growth Properties Larger Than 500 Component Intuit
2012-10-08 00:00:00,Endurance Owner Of Buys Intuit Websites
2012-10-10 00:00:00,Block Working with Goldie to Search Options for Bank INTU
2012-10-11 00:00:00,INTUIT Audatex to Use Demandforce for Marketing and Communications
2012-10-18 00:00:00,INTUIT Intuit Weaves Together
2012-10-22 00:00:00,and Google Are in the Rising Long Portfolio
2012-10-23 00:00:00,Raymond James Gives Outperform Rating to Intuit
2012-10-25 00:00:00,Symantec Rises as Forecast Tops Estimates on Demand
