2011-01-11 00:00:00,International Paper Company Announces Increase in Quarterly Dividend
2011-03-29 00:00:00,International Paper Company Announces Increase In Quarterly Dividend
2011-04-01 00:00:00,The Andhra Pradesh Paper Mills Limited Receives Open Offer From International Paper IP Holding Asia Singapore
2011-04-13 00:00:00,Corporation to Sell its Logging Company in Russia to International Paper
2011-06-06 00:00:00,Rejects Unsolicited Takeover Proposal from International Paper Company
2011-08-09 00:00:00,International Paper Company Extends Tender Offer For All Outstanding Shares Of
2011-09-06 00:00:00,International Paper Company Clinches Temple Inland Inc Deal With Higher
2012-02-10 00:00:00,International Paper Company And Announce Settlement Agreement With Department of Justice
2012-02-13 00:00:00,International Paper Company Completes Acquisition of
2012-05-08 00:00:00,International Paper Company Declares Dividend
2012-09-06 00:00:00,International Paper Co In Talks To Buy SK West Coast Paper Mills Economic Times
2012-10-11 00:00:00,International Paper Hikes Dividend Analyst Blog
2012-10-24 00:00:00,International Paper Co And Grupo Orsa Company To Form Joint Venture
2012-10-25 00:00:00,International Paper profit down on weak packaging sales
2012-10-26 00:00:00,Zacks Reiterates Outperform on International Paper Company
2012-10-31 00:00:00,Kellogg Company Directors Elect International Paper Executive Mary Laschinger
2012-11-01 00:00:00,International Paper Shelby Forest A Match
2012-11-02 00:00:00,International Paper Company Research Recent Ratings Updates
