2010-12-13 00:00:00,Legg Appoints Peter Nachtwey As Chief Financial Officer
2011-05-03 00:00:00,Legg Declares Quarterly Cash Dividend
2011-07-28 00:00:00,Legg Declares Quarterly Dividend
2011-10-27 00:00:00,Legg Declares Quarterly Dividend
2012-01-27 00:00:00,Legg Declares Quarterly Cash Dividend
2012-05-16 00:00:00,Legg Prices Million Senior Notes
2012-09-11 00:00:00,Legg Mason Inc Implements Chief Executive Officer Succession Plan
2012-10-18 00:00:00,Analysis Legg internal tensions lead to breakup talk
2012-10-26 00:00:00,Legg Mason Inc Declares Quarterly Cash Dividend
2012-10-31 00:00:00,Factors of Economy and Policy Research Analysis on Legg
2012-11-01 00:00:00,LM Crosses Above Key Moving Average Level
2012-11-06 00:00:00,Analysis Legg Mason to ask a lot of new as search begins
