2010-11-12 00:00:00,Declares Cash Dividend
2010-11-15 00:00:00,Issues Q4 2010 Guidance In Line With Lowers FY 2010 Comments On FY 2010 Comparable Store Sales Guidance
2010-11-17 00:00:00,Prices Billion Notes Offering
2011-01-03 00:00:00,Announces General Services Administration Schedule Contract
2011-05-16 00:00:00,Comments On Q2 2011 Revenue Issues Q2 2011 EPS Outlook In Line With Lowers FY 2011 Comments On Q2 2011 Comparable Same Store Outlook
2011-08-15 00:00:00,Comments On Q3 2011 Revenue Issues Q3 2011 EPS Outlook Below Lowers FY 2011 Comments On Q3 2011 Comparable Same Store Outlook
2011-08-22 00:00:00,Authorizes Billion Share Repurchase Declares Cash Dividend
2012-05-21 00:00:00,Reaffirms FY 2012 Revenue Lowers FY 2012 EPS Comments On FY 2012 Comparable Store Sales Guidance
2012-07-31 00:00:00,RONA Rejects Billion Buyout
2012-08-20 00:00:00,Companies Inc Lowers FY 2012 Call
2012-10-26 00:00:00,BetterInvesting Magazine Releases January Stock
