2010-11-17 00:00:00,Lorillard Announces Quarterly Dividend on Common Stock
2011-07-20 00:00:00,Lorillard Voluntarily Recalls Certain Packages of Newport Cigarettes
2011-08-01 00:00:00,Lorillard Announces Pricing of Million Debt Offering
2011-08-16 00:00:00,Cigarette Makers Including Lorillard Sue FDA Over New Labeling
2011-11-09 00:00:00,Lorillard Announces Quarterly Dividend
2012-04-25 00:00:00,Lorillard Announces Acquisition Of Blu Ecigs
2012-05-17 00:00:00,Lorillard Announces Quarterly Dividend
2012-08-21 00:00:00,Lorillard Inc Announces Million Share Repurchase Program
2012-10-19 00:00:00,Lorillard Stock Rating Reaffirmed by Goldman Sachs
2012-10-24 00:00:00,Market Influences That Drive Equities Forward Industry Report on Lorillard
2012-10-26 00:00:00,Zacks Reaffirms Neutral Rating on Lorillard
