2010-12-07 00:00:00,Lam Research Corporation Announces Appointment Of President Form 8K
2011-01-26 00:00:00,Lam Research Corporation Issues Q3 2011 Mixed Call
2011-04-20 00:00:00,Lam Research Corporation Issues Q4 2011 Revenue And EPS Guidance Below Comments On Q4 2011 EBIT Call
2011-05-05 00:00:00,Lam Research Corporation Announces Intention to Offer Million of Convertible Notes
2011-05-06 00:00:00,Lam Research Corporation Prices Million Of Convertible Notes
2011-07-27 00:00:00,Lam Research Corporation Issues Q1 2012 Guidance Below Call
2011-09-01 00:00:00,Lam Research Corporation Announces Increase To Share Repurchase Program
2011-10-19 00:00:00,Lam Research Corporation Issues Q2 2012 Guidance Below Call
2011-12-14 00:00:00,Lam Research Corporation and Novellus to Combine in Billion Lam Research Corporation Announces Billion Common Stock Repurchase Program
2012-01-25 00:00:00,Lam Research Corporation Issues Q3 2012 Guidance In Line With Call
2012-04-19 00:00:00,Lam Research Corporation Issues Q4 2012 Guidance In Line With Call
2012-06-04 00:00:00,Lam Research Corporation Completes Merger With Novellus Systems Inc
2012-07-26 00:00:00,Lam Research Corp Issues Q1 2013 Guidance Below Call
2012-08-30 00:00:00,Lam Research Corp Announces Retirement of Chairman
2012-10-08 00:00:00,Lam Research PT Lowered to
2012-10-11 00:00:00,What Does Wall Street See for Lam
2012-10-16 00:00:00,LAM RESEARCH CORPORATION to Host Analyst and Investor Meeting
2012-10-17 00:00:00,Lam Research Q1 Profit Down
2012-10-19 00:00:00,In Like a Lam and Out Like a Lion
2012-10-22 00:00:00,Lam Research Given New Price Target at Citigroup
2012-10-23 00:00:00,Why Is Lam Research Jim Favorite Tech
