2010-11-15 00:00:00,Declares Fourth Quarter 2010 Preferred Stock Dividends
2011-03-01 00:00:00,American International Announces Agreement To Permit Sale Of Equity Securities
2011-03-03 00:00:00,Prices Common Stock and Common Equity Unit Offerings To Eliminate American International Ownership of MetLife Securities Received in Acquisition of Alico
2011-03-08 00:00:00,Announces Completion Of Common Stock And Common Equity Unit Offerings
2011-03-21 00:00:00,Names Steven Kandarian To Succeed Robert Henrikson As President And CEO
2011-05-16 00:00:00,Declares Second Quarter 2011 Preferred Stock Dividends
2011-06-08 00:00:00,Sells Million Floating Rate
2011-07-21 00:00:00,To Explore Sale of MetLife Banks Depository Business
2011-08-15 00:00:00,Declares Third Quarter 2011 Preferred Stock Dividends
2011-11-09 00:00:00,Sells Stake In Houston Office Building
2011-11-15 00:00:00,Declares Fourth Quarter 2011 Preferred Stock Dividends
2011-11-21 00:00:00,To Reorganize Names Interim
2012-04-20 00:00:00,Issues Q1 2012
2012-04-23 00:00:00,To Pay Million In Says
2012-05-15 00:00:00,Metlife Inc Declares Second Quarter 2012 Preferred Stock Dividends
2012-05-18 00:00:00,Manulife Financial Metlife Inc and Prudential Financial Corp Are Among Suitors Expected To Place First Round Bids To Buy ING Asia Life Insurance
2012-05-31 00:00:00,KOREA LIFE Kb Financial Group Inc Shortlisted In Bid For ING Groep Asia Life Insurance Leaving And
2012-07-25 00:00:00,Metlife Inc Names John Hele As Chief Financial Officer
2012-10-23 00:00:00,Metlife Inc Declares Annual Dividend On Common Stock
2012-10-24 00:00:00,MetLife and MetLife Foundation Join Forces with on Million
2012-11-02 00:00:00,Metlife Inc To Sell Mortgage Servicing Portfolio To JPMorgan Chase
2012-11-05 00:00:00,METLIFE INC Dallas Workers Want Voluntary Willing to Nearly Double
