2010-11-08 00:00:00,Announces Strategic Partnership With
2010-12-06 00:00:00,Issues FY 2011 Earnings Net Profit Guidance Above Estimates
2011-01-04 00:00:00,To Issue Billion
2011-01-06 00:00:00,Unit Sells Million
2011-02-18 00:00:00,Announces First Quarter 2011 Preferred Stock Dividend
2011-03-28 00:00:00,Chinatrust Financial Holdings To Pay Million For Assets In
2011-04-11 00:00:00,Punjab National Bank Shortlists Three Firms Including For Insurance
2011-06-27 00:00:00,Dexia Sells Stake In DenizEmeklilik To
2011-06-29 00:00:00,Bank of America Corporation Near Billion Settlement On Securities From Investor Group Includes BlackRock MetLife
2011-10-25 00:00:00,Declares Annual Dividend On Common Stock
2011-10-31 00:00:00,Names Steven Kandarian As Chairman
2011-12-05 00:00:00,Issues Q4 2011 EPS Guidance Below Issues FY 2012 EPS Guidance In Line With Estimates
2011-12-27 00:00:00,To Sell Depository Business Of MetLife Bank To GE Capital Financial
2012-01-12 00:00:00,Robbins Geller Rudman Dowd LLP Files Class Action Suit Against
2012-01-13 00:00:00,Law Firm of Levi Korsinsky Notifies Investors with Losses On Their Investment in Of Class Action Lawsuit
2012-01-19 00:00:00,Holzer Holzer LLC Announces Investigation Into Potential Claims For Breaches Of Fiduciary Duty By Certain Officers And Directors Of
2012-01-24 00:00:00,Robbins Umeda LLP Announces Investigation Of
2012-01-30 00:00:00,Announces To Acquire Hungarian And Romanian Operations Of Aviva Plc
2012-02-09 00:00:00,EverBank Financial Corp Acquires MetLife Warehouse Finance Business
2012-02-17 00:00:00,Announces First Quarter 2012 Preferred Stock Dividend
2012-03-26 00:00:00,Potential Bidders Including Line Up ING Groep Asia
2012-04-27 00:00:00,MetLife Inc To Cut 500 Jobs In Reverse Mortgage
2012-08-02 00:00:00,Metlife Inc Completes Acquisition of Reynolds Plantation
2012-08-15 00:00:00,Metlife Inc Declares Third Quarter 2012 Preferred Stock Dividends
2012-10-09 00:00:00,MetLife Enters Asset Management in Fee Push
2012-10-16 00:00:00,MetLife Bets on Brazil Farms as Bond Yields Hurt Results
2012-10-31 00:00:00,MetLife Swinging to a Loss
2012-11-01 00:00:00,Metlife Swings to Billion Q3 Loss on Adjusted Net but
