2010-12-08 00:00:00,The Platts Agrees To Acquire Oil Price Information Service
2010-12-14 00:00:00,The Platts To Acquire BENTEK LLC
2011-03-17 00:00:00,The Reaffirms FY 2011 EPS Call
2011-04-14 00:00:00,The Higher Education And Launch Combined Course Solution Worldwide
2011-06-14 00:00:00,The To Divest Broadcasting Business
2011-06-29 00:00:00,The Platts To Acquire Steel Business Briefing Group
2011-09-29 00:00:00,The CME Group Eye Indexes
2011-11-08 00:00:00,The And New Oriental Education Group Inc to Form Joint Venture
2012-01-18 00:00:00,The Increases Dividend
2012-04-03 00:00:00,The Capital IQ Acquires QuantHouse
2012-04-25 00:00:00,The Declares Quarterly Dividend
2012-10-04 00:00:00,Google Inc Settles With The And Other Publishers Over Digital
