2011-01-11 00:00:00,Purchases Luxteras Silicon Active Optical Cable Partners on Future AOC Development
2011-03-25 00:00:00,Reports Quarterly Cash Dividend
2011-05-03 00:00:00,Announces Increase In Cash Dividend
2011-08-03 00:00:00,Issues Q1 2012 Guidance Below Estimates
2012-02-24 00:00:00,Inc and TE Connectivity Announce HighSpeed Interconnect Second Source Agreements
2012-04-25 00:00:00,Molex Inc Announces Increase In Dividend
2012-06-15 00:00:00,Molex Inc Reports Quarterly Cash Dividend
2012-09-12 00:00:00,Law Firm of Levi LLP Launches Investigation Into Possible Breaches Of Fiduciary Duty By Board Of Directors Of Molex Inc
2012-10-10 00:00:00,SHAREHOLDER Levi LLP Launches an Investigation of
2012-10-11 00:00:00,SHAREHOLDER The Law Firm of Levi LLP Announces
2012-10-15 00:00:00,Cisco 2012 Supplier of the Year Award for Molex
2012-10-22 00:00:00,Topeka Capital Reiterates Sell on Molex
2012-10-25 00:00:00,Levi LLP Announces Investigation Of Molex Inc
2012-10-31 00:00:00,Molex Adds Medical Electronics Products to the MediSpec Portfolio
2012-11-01 00:00:00,RBC Capital Gives Sector Perform Rating to Molex
2012-11-06 00:00:00,The Election Results of Policy on the Market Research Analysis on
