2010-12-07 00:00:00,Merck Prices Billion Debt Offering
2011-02-04 00:00:00,Galapagos NV and Merck Agree To End Strategic Alliances
2011-02-22 00:00:00,Merck Announces Second Quarter 2011 Dividend
2011-02-28 00:00:00,FUJIFILM Holdings FUJIFILM Corporation To Acquire Merck Biomanufacturing Network From Merck
2011-11-22 00:00:00,Merck To Pay Million To Settle Charges Of Illegal Marketing Of
2012-04-16 00:00:00,Merck Co Inc And Endocyte Announces Worldwide Agreement To Develop And Commercialize Phase III Cancer Candidate Vintafolide
2012-05-22 00:00:00,Merck Co Inc Announces 2012 Dividend
2012-06-21 00:00:00,Merck Co Inc In Talks To Buy Micro Labs
2012-09-26 00:00:00,Merck Co Inc Returns Global Marketing And Development Rights For Vernakalant To Cardiome Pharma Corp
2012-10-15 00:00:00,Merck Co Inc And AiCuris Announces Worldwide License Agreement
2012-10-17 00:00:00,MP Advisors Sets Merck Co Price Target at
