2011-04-04 00:00:00,TowerJazz Announces Acquisition Of Micron Wafer Manufacturing Plant In Japan
2011-04-18 00:00:00,Micron Expands China Manufacturing
2011-05-31 00:00:00,Micron and Intellectual Ventures Sign Intellectual Property License Agreement
2011-12-05 00:00:00,Tessera Updates On Licensing Agreement With Micron
2012-02-03 00:00:00,Micron Announces Update
2012-04-11 00:00:00,Micron Launches Million Offering Of Convertible Senior Notes
2012-05-10 00:00:00,Micron Confirms Discussions With Elpida
2012-08-27 00:00:00,Assigns Rating on Micron Technology Rating Outlook Stable
2012-09-12 00:00:00,Micron Technology Inc and Elpida Announce Expiration of Rodino Waiting Period
2012-10-12 00:00:00,Micron Technology Speculators Expect Limited Downside
2012-10-15 00:00:00,Piper Jaffray Sets Micron Technology Price Target at
2012-10-16 00:00:00,Micron Technology Takes Over Spot From Union Pacific
2012-10-17 00:00:00,Micron Powers a Enterprise
