2011-03-25 00:00:00,Comments On FY 2011 Earning Call
2011-04-07 00:00:00,Declares Quarterly Dividend
2011-05-03 00:00:00,Acquires ePlan
2011-06-23 00:00:00,Comments On FY 2012 Earning Call
2011-07-07 00:00:00,Declares Quarterly Dividend
2011-09-27 00:00:00,Reaffirms FY 2012 Earnings Guidance
2012-01-09 00:00:00,Acquires Icon Time Systems
2012-04-26 00:00:00,Declares Quarterly Dividend
2012-06-27 00:00:00,Comments On FY 2013 Guidance
2012-10-16 00:00:00,Paychex Is A Yield Dividend Heavyweight
2012-10-23 00:00:00,Paychex Inc Declares Increase In Quarterly Dividend
2012-10-24 00:00:00,A Dividend Paycheck For Your Wallet
2012-10-25 00:00:00,SCORE Paychex Partner to Help Small Businesses Avoid Costly Mistakes
2012-11-01 00:00:00,ADP Matches Beats Revenue Ests Analyst Blog
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
