2011-03-16 00:00:00,Patterson Announces Dividend Increase And Expanded Share Repurchase Plan
2011-06-14 00:00:00,Patterson Declares Quarterly Cash Dividend
2011-09-14 00:00:00,Patterson Declares Quarterly Cash Dividend
2012-03-14 00:00:00,Patterson Announces Dividend Increase
2012-05-24 00:00:00,Patterson Issues FY 2013 EPS Guidance In Line With Estimates
2012-06-12 00:00:00,Patterson Declares Quarterly Cash Dividend
2012-09-10 00:00:00,Patterson Companies Patterson Dental Acquires Full Service Dental Distributor
2012-09-11 00:00:00,Patterson Companies Inc Declares Quarterly Cash Dividend
2012-10-16 00:00:00,Investment Ratings Reiterations for 16th AEP
2012-10-25 00:00:00,Traders Eye PSS World Medical Peers Following McKesson
2012-11-01 00:00:00,Stocks Forming an Upward Channel on
2012-11-05 00:00:00,United Rentals Moves Up In Market Cap Passing Patterson Companies
