2010-11-12 00:00:00,PepsiCo Declares Dividend
2010-12-27 00:00:00,Russian Watchdog Favours PepsiCo Buy Of Pitaniya
2011-09-01 00:00:00,Grupo Embotelladoras Unidas SAB de CV Receives Authorization For Business Integration And New Company With Pepsico Inc And Polmex Holdings SL
2011-10-13 00:00:00,PepsiCo Inc Starts Trading on OTC
2011-11-04 00:00:00,Tingyi Holding And PepsiCo Enter Into Agreement To Form Strategic Alliance In China
2011-11-10 00:00:00,PepsiCo Acquires Biscuit Manufacturer In Brazil
2012-07-09 00:00:00,PepsiCo And Theo Muller Group To Enter Dairy Market With Premium Yogurt
2012-08-08 00:00:00,STORY WITHDRAWN Fitch Rates PepsiCo Billion Senior Note Issuance Outlook Stable
2012-08-09 00:00:00,PepsiCo Reaches Distribution Agreement To Sell Drinks In
2012-11-01 00:00:00,The Zacks Analyst Blog Pizza
