2010-11-12 00:00:00,PepsiCo Declares Dividend
2010-11-19 00:00:00,SC Quashes Action Against PepsiCo Over Pesticide Standard
2010-12-02 00:00:00,PepsiCo To Acquire Of Foods OJSC For Billion
2010-12-03 00:00:00,Fitch Revises PepsiCo Outlook To Negative On Acquisition Announcement
2010-12-08 00:00:00,PepsiCo Increases Investment in One Natural Experience
2010-12-09 00:00:00,China Court Rules Against PepsiCo PepsiCo China Investment In JV
2010-12-27 00:00:00,Russian Watchdog Favours PepsiCo Buy Of Pitaniya
2011-01-27 00:00:00,PepsiCo Announces Receipt Of All Russian Regulatory Approvals Required As Conditions To Close the Acquisition
2011-02-03 00:00:00,PepsiCo Completes Acquisition Of Of
2011-02-04 00:00:00,PepsiCo Raises Quarterly Dividend
2011-02-10 00:00:00,PepsiCo Comments On FY 2011 EPS Comments On Long Term EPS Guidance
2011-03-10 00:00:00,PepsiCo Announces Launch of Russian and Tender Offers for All Shares and ADSs of Foods
2011-03-16 00:00:00,PepsiCo And Strauss Group Announces Joint Venture Partnership
2011-04-05 00:00:00,PepsiCo North America Division Announces New Partnership
2011-04-28 00:00:00,PepsiCo Reaffirms FY 2011 EPS Comments On Long Term EPS Anticipates Share Repurchases
2011-05-03 00:00:00,PepsiCo To Sell Five Year Debt
2011-05-04 00:00:00,PepsiCo Announces Dividend
2011-05-17 00:00:00,PepsiCo Announces Completion Of Tender Offer For All ADSs Of Foods
2011-06-20 00:00:00,East Capital Explorer AB Accepts PepsiCo Subsidiary Buyout Offer for Foods OJSC
2011-07-01 00:00:00,PepsiCo To Buy Remaining Stake In
2011-07-15 00:00:00,PepsiCo Declares Dividend
2011-07-18 00:00:00,PepsiCo Plans Mexico Beverage Joint Venture With Grupo
2011-07-21 00:00:00,PepsiCo Raises FY 2011 EPS Guidance
2011-09-01 00:00:00,Grupo Embotelladoras Unidas SAB de CV Receives Authorization For Business Integration And New Company With Pepsico Inc And Polmex Holdings SL
2011-09-09 00:00:00,PepsiCo Announces Completion of Produkty Pitaniya OAO Acquisition
2011-10-13 00:00:00,PepsiCo Inc Starts Trading on OTC
2011-11-02 00:00:00,PepsiCo Wins Bidding For
2011-11-04 00:00:00,Tingyi Holding And PepsiCo Enter Into Agreement To Form Strategic Alliance In China
2011-11-10 00:00:00,PepsiCo Acquires Biscuit Manufacturer In Brazil
2011-11-17 00:00:00,PepsiCo Declares Dividend
2011-12-01 00:00:00,International Dispensing Corporation Signs Global Supply Deal With PepsiCo
2012-01-17 00:00:00,PepsiCo And Ocean Spray Announces Strategic Alliance In Latin America
2012-02-03 00:00:00,PepsiCo Declares Dividend
2012-02-06 00:00:00,PepsiCo May Have Withdrawn From Buying Brazil Cookie Maker Marilan
2012-02-08 00:00:00,Greece Fines PepsiCo For Abusing Market
2012-02-09 00:00:00,PepsiCo Comments On FY 2012 And FY 2013 EPS Comments On Long Term Guidance
2012-03-12 00:00:00,PepsiCo Names John Compton As President
2012-04-16 00:00:00,Family Dollar Announces It Has Agreed In Terms To A Partnership With
2012-04-26 00:00:00,PepsiCo Reaffirms FY 2012 Guidance
2012-04-30 00:00:00,DineEquity Inc Signs Ten Year Contract With
2012-05-02 00:00:00,PepsiCo Announces Increase In Dividend
2012-07-09 00:00:00,PepsiCo And Theo Muller Group To Enter Dairy Market With Premium Yogurt
2012-07-20 00:00:00,PepsiCo Declares Quarterly Dividend
2012-07-25 00:00:00,PepsiCo Reaffirms FY 2012 Guidance
2012-08-08 00:00:00,STORY WITHDRAWN Fitch Rates PepsiCo Billion Senior Note Issuance Outlook Stable
2012-08-09 00:00:00,PepsiCo Reaches Distribution Agreement To Sell Drinks In
2012-09-11 00:00:00,PepsiCo Inc Announces Management Change
2012-09-20 00:00:00,Calbee Subsidiary Forms Business Alliance with
2012-10-15 00:00:00,Earnings PepsiCo Analyst Blog
2012-10-17 00:00:00,PepsiCo Inc Reaffirms FY 2012 Guidance
2012-10-23 00:00:00,PepsiCo Inc And Suntory Holdings Limited Agree To Form Strategic Beverage Alliance In Vietnam
2012-10-26 00:00:00,PepsiCo to Invest Million in Thailand Through 2015
2012-11-01 00:00:00,The Zacks Analyst Blog Pizza
