2010-11-23 00:00:00,Cumberland County Housing Authority Selects Pepco Pepco Energy Inc To Implement Energy Savings Performance Contract
2011-01-31 00:00:00,Pepco Announces Two Year Operations And Maintenance Contract Renewal By Maryland Aviation Administration
2011-02-15 00:00:00,Pepco Pepco Energy Signs Master Agreement With Energy Services Of Pensacola
2011-02-25 00:00:00,Pepco Issues FY 2011 EPS Guidance In Line With Estimates
2011-03-22 00:00:00,Pepco Pepco Energy To Complete Energy Audit At Executive Center Complex For Georgia Mansion
2011-07-27 00:00:00,Accenture Plc To Partner With Pepco Holdings Inc To Build Communications Network Management System
2011-07-28 00:00:00,Pepco Holdings Inc Declares Dividend
2011-11-04 00:00:00,Pepco Holdings Inc Raises Low End Of Prior FY 2011 EPS Guidance To A Range In Line With Estimates
2011-11-15 00:00:00,Pepco Holdings Pepco Energy Secures Contract
2012-01-26 00:00:00,Pepco Holdings Inc Declares Dividend
2012-01-30 00:00:00,Pepco Holdings Pepco Energy Inc Receives Contract For Million Energy Savings Performance At Virginia Tech
2012-02-24 00:00:00,Pepco Holdings Inc Issues FY 2012 EPS Guidance
2012-03-06 00:00:00,DC Water Selects Pepco Holdings Pepco Energy Inc To Build And Operate million Combined Heat Power Plant
2012-04-26 00:00:00,Pepco Holdings Inc Declares Dividend
2012-05-14 00:00:00,Pepco Holdings Pepco Energy Partners with Delaware Technical Community College to Reduce Energy Consumption for Four Campuses
2012-08-07 00:00:00,Pepco Holdings Inc Reaffirms FY 2012 EPS Guidance
2012-10-23 00:00:00,Pepco Holdings Schedules Conference 2012 Earnings Review
2012-10-24 00:00:00,Pepco Holdings Executive Karen Lefkowitz Appointed to GridWise Alliance
2012-11-01 00:00:00,Pepco Holdings Third Quarter Earnings Sneak Peek
2012-11-05 00:00:00,Earnings Pepco Holdings Analyst Blog
2012-11-07 00:00:00,POM Crosses Below Key Moving Average Level
