2011-07-20 00:00:00,Public Storage Announces Pricing of Cumulative Preferred Shares of Beneficial Series
2011-08-09 00:00:00,Public Storage Announces Appointment Of Chairman
2011-08-23 00:00:00,Public Storage Completes Mergers of Property Series Partnerships
2012-02-23 00:00:00,Public Storage Increases Quarterly Common Dividend By to Per Share
2012-06-06 00:00:00,Public Storage Announces Pricing of Cumulative Preferred Shares of Beneficial Series U
2012-09-12 00:00:00,Public Storage Announces Pricing of Cumulative Preferred Shares of Beneficial Series V
2012-10-18 00:00:00,Public Storage to Release Third Quarter 2012 Earnings Results and Host
2012-10-23 00:00:00,Top Upgrades
2012-11-01 00:00:00,Public Storage Breaks Above Moving Average Bullish for PSA
2012-11-02 00:00:00,Equity Ratings Changes for November PRO
2012-11-06 00:00:00,Public Storage Third Quarter Earnings Sneak Peek
