2010-12-03 00:00:00,Buckhead Life To Offer Gift Cards Through QUALCOMM Mobile Application
2010-12-20 00:00:00,Agrees To Acquire Wireless Spectrum From QUALCOMM
2011-01-14 00:00:00,QUALCOMM Declares Quarterly Cash Dividend
2011-02-14 00:00:00,QUALCOMM Xiam Recommendations Technology to Help Power Personalized Customer Experiences
2011-03-01 00:00:00,QUALCOMM And Gameloft SA Enter Into Strategic Relationship
2011-05-04 00:00:00,NXP Semiconductors NV Plays Down Takeover Speculation With Intel QUALCOMM And Broadcom Corporation
2011-06-10 00:00:00,QUALCOMM To Acquire Assets Of Rapid Bridge LLC
2011-09-07 00:00:00,QUALCOMM To Acquire HQV And FRC Video Processing Assets From Integrated Device Technology
2011-09-20 00:00:00,LitePoi Announces License Agreement QUALCOMM
2011-10-27 00:00:00,QUALCOMM Snapdragon Processor Powers Nokia Lumia Smartphones
2011-12-05 00:00:00,QUALCOMM Forms Qualcomm Life Subsidiary To Deliver Comprehensive Wireless Solutions For Medical Devices
2012-02-23 00:00:00,France Telecom Orange Business Services and Qualcomm Qualcomm Life Announce Collaboration to Accelerate Growth and Wireless Health Services in Europe
2012-02-28 00:00:00,Option NV Announces LGA Module for 4G Uses QUALCOMM Gobi LTE Chipset
2012-04-03 00:00:00,QUALCOMM Declares Quarterly Cash Dividend
2012-04-23 00:00:00,Imagination Technologies Group plc Signs License Agreement With Qualcomm Incorporated
2012-05-24 00:00:00,Bharti Airtel Limited To Buy In Qualcomm India Broadband
2012-06-18 00:00:00,QUALCOMM Acquires Summit Microelectronics
2012-06-27 00:00:00,QUALCOMM And Akamai Collaborates To Optimize Mobile Page Loads
2012-10-10 00:00:00,Qualcomm Inc And Semp Toshiba Sign License Agreement
2012-10-17 00:00:00,Qualcomm Inc Declares Quarterly Cash Dividend
2012-11-06 00:00:00,Earnings Qualcomm
