2011-02-25 00:00:00,QEP Declares Dividend
2011-08-03 00:00:00,QEP Resources Inc Declares Dividend
2011-09-14 00:00:00,Pacific Energy Mining Company Announces Farmout Agreement With QEP Resources Inc
2011-11-04 00:00:00,QEP Resources Inc Declares Dividend
2012-04-24 00:00:00,QEP Resources Inc Reaffirms FY 2012 EBITDA Guidance
2012-08-24 00:00:00,QEP Resources Inc Raises FY 2012 EBITDA Raises FY 2012 Production Call
2012-10-10 00:00:00,Global Growth Forecast is Cut
2012-10-24 00:00:00,Colorado Good Times shares up
2012-10-25 00:00:00,QEP Resources Inc Third Quarter Earnings Sneak Peek
2012-11-01 00:00:00,Head and Shoulders Inverse Pattern Formed on These Stocks on
2012-11-06 00:00:00,Indicated Dividend Yield Ranking for the 500 by Industry
