2011-04-27 00:00:00,Rockwell Automation Raises FY 2011 Revenue Narrows FY 2011 EPS Guidance
2011-05-03 00:00:00,Rockwell Automation Settles With SEC
2011-05-24 00:00:00,Rockwell Automation Acquires Lektronix
2011-07-28 00:00:00,Rockwell Automation Raises FY 2011 Guidance
2011-08-16 00:00:00,Rockwell Automation Secures Contract
2012-03-27 00:00:00,Cynar plc Awards Million Process Order To Rockwell Automation
2012-04-25 00:00:00,Rockwell Automation Narrows FY 2012 Guidance To A Range In Line With Estimates
2012-06-08 00:00:00,Rockwell Automation Approves Billion for Common Stock Announces Increases Common Stock Dividend To Annually
2012-06-13 00:00:00,Rockwell Automation Inc Raises FY 2012 Revenue Call
2012-07-25 00:00:00,Rockwell Automation Inc Lowers FY 2012 Declares Dividend
2012-10-09 00:00:00,Rockwell Automation Completes Purchase of Medium Voltage Drives Business
2012-10-10 00:00:00,Rockwell Acquires Chinese Biz Analyst Blog
2012-10-12 00:00:00,Nomura Gives Buy Rating to Rockwell Automation
2012-10-15 00:00:00,Rockwell Automation Offers Virtual Image Templates For The PlantPAx Process
