2011-01-18 00:00:00,Rockwell Automation To Acquire Hiprom
2011-02-02 00:00:00,Rockwell Automation Declares Quarterly Dividend on Common Stock
2011-02-08 00:00:00,Rockwell Automation Raises FY 2011 Call
2011-04-06 00:00:00,Rockwell Automation Declares Quarterly Dividend On Common Stock
2011-05-03 00:00:00,Rockwell Automation Settles With SEC
2011-06-02 00:00:00,Rockwell Automation Increases Common Stock Dividend To Annually
2012-03-12 00:00:00,Rockwell Acquires SoftSwitching Technologies
2012-03-27 00:00:00,Cynar plc Awards Million Process Order To Rockwell Automation
2012-06-08 00:00:00,Rockwell Automation Approves Billion for Common Stock Announces Increases Common Stock Dividend To Annually
2012-08-01 00:00:00,Rockwell Automation Inc Secures Contract From
2012-10-31 00:00:00,Rockwell Automation Inc Declares Quarterly Dividend On Common Stock
2012-11-07 00:00:00,Industrial software provides energy intelligence
