2010-11-08 00:00:00,Receives Million Task Order By Naval Air Systems Command
2010-12-01 00:00:00,Receives Million Contract By Navy Program Executive Office For Computers And Intelligence
2010-12-02 00:00:00,Receives Million Task Order To Support Department Of Homeland Security Program
2010-12-08 00:00:00,Revises FY 2011 Revenue Guidance To A Range Below Reaffirms FY 2011 EPS Guidance
2010-12-22 00:00:00,Receives Contract From Space and Naval Warfare Systems Center Pacific
2011-01-03 00:00:00,Receives Task Order By National Institutes of Health
2011-01-05 00:00:00,Receives Contract From Army Space And Missile Defense Command
2011-01-10 00:00:00,Receives Contract By Army Research Laboratory
2011-01-24 00:00:00,Secures Million Contract to Provide Logistics Services
2011-01-26 00:00:00,Receives Million Task Order By The Naval Surface Warfare Center Crane Division
2011-02-02 00:00:00,Wins Contract To Provide Security And Force Protection Services To Department of Defense
2011-02-03 00:00:00,Receives Contract By The Air Force To Support Operations
2011-03-08 00:00:00,General Services Administration Awards Million Task For Department Of Agriculture Support
2011-03-10 00:00:00,Gradient Resources Signs EPC Agreement With Benham Constructors For A 60 MW Geothermal Binary Power Development At Patua
2011-03-14 00:00:00,Elster Group SE ADR Works With SAIC To Deliver Comprehensive SmartGrid As Service
2011-03-23 00:00:00,Updates FY 2012 Guidance To A Range In Line With Estimates
2011-04-01 00:00:00,Announces Agreement To Sell Its Global Oil and Gas IT Services Business To Wipro Ltd
2011-04-06 00:00:00,Wins Contract By Department Of Justice
2011-05-18 00:00:00,Secures Modeling and Simulation Contract Form Army Forces Command
2011-06-29 00:00:00,Tech Joint Venture Awarded Department of State Criminal Justice Program Support Contract
2011-07-21 00:00:00,To Acquire Vitalize Consulting
2011-08-31 00:00:00,Lowers FY 2012 Guidance
2011-10-18 00:00:00,Partners With Intel McAfee To Offer Enterprise Ready Protection From Zero Day And Reconnaissance Attacks
2011-10-19 00:00:00,Secures Contract From National Institute of Allergy and Infectious Diseases
2011-10-24 00:00:00,Secures Million Contract From Navy
2011-11-03 00:00:00,Secures Million GSA Logistics Worldwide Task Order
2011-11-07 00:00:00,Red Announces Cloud Computing Alliance With
2011-11-08 00:00:00,Secures Contract to Support Joint Improvised Explosive Device Defeat Organization
2011-12-05 00:00:00,Secures Contract From The Defense Logistics Agency
2011-12-06 00:00:00,Issues FY 2012 Guidance In Line With Estimates
2011-12-12 00:00:00,Awarded Million Contract Amendment By Hawaii Public Utilities Commission
2011-12-14 00:00:00,Secures Contract to Support Army Virtual and Constructive Training
2012-01-23 00:00:00,SAIC Environment LLC And C3 Announces Strategic Alliance
2012-01-25 00:00:00,Law Offices of Howard Smith Announces Investigation of
2012-02-01 00:00:00,Saic Inc Secures Contract From Air Combat Command Acquisition Management And Integration Center
2012-02-21 00:00:00,Saic Inc Announces Chief Executive Officer Succession
2012-03-08 00:00:00,Lieff Cabraser Heimann LLP Announces Class Action Lawsuit Against Saic Inc
2012-03-15 00:00:00,Branham Law LLP Investigating Board Of Directors For Possible Breaches of Fiduciary Duty
2012-03-20 00:00:00,Announces Initiation Of Quarterly Cash Announces Share Issues FY 2013 Guidance Below Estimates
2012-03-27 00:00:00,Secures Contract From Space and Naval Warfare Systems Center Atlantic
2012-03-28 00:00:00,Cohen Milstein Sellers Toll PLLC Announces Investigation Of
2012-03-29 00:00:00,Milberg LLP Announces Class Action Lawsuit Against
2012-05-31 00:00:00,Issues FY 2013 Guidance
2012-06-11 00:00:00,Secures Contract From Bureau Of Engraving And Printing
2012-06-18 00:00:00,Declares Quarterly Cash Dividend
2012-06-21 00:00:00,Secures Task Order From United States Air Force Space And Missile Systems Center
2012-07-03 00:00:00,Secures Contract From Space And Naval Warfare Systems Center Atlantic
2012-08-13 00:00:00,Saic Inc Completes Acquisition of maxIT Healthcare
2012-08-15 00:00:00,Saic Inc Secures Contract From Space And Naval Warfare Systems Center Atlantic
2012-09-17 00:00:00,Saic Inc Declares Quarterly Cash Dividend
2012-09-24 00:00:00,Saic Inc Secures Million Contract From Naval Air Systems Command
2012-11-05 00:00:00,SAIC names heads of companies
