2011-01-24 00:00:00,Sealed Air Corporation Issues FY 2011 Revenue Below Comments On Long Term Revenue Call
2011-12-06 00:00:00,Sealed Air Corporation Reaffirms FY 2011 EPS Call
2011-12-20 00:00:00,Sealed Air Corporation Announces Secondary Offering By Selling Stockholders
2012-02-09 00:00:00,Sealed Air Corporation Issues FY 2012 EPS Guidance Above Comments On FY 2012 EBITDA Guidance
2012-06-06 00:00:00,Sealed Air Corporation Reaffirms FY 2012 EBITDA Call
2012-08-28 00:00:00,Sealed Air Corp Announces Chief Executive Officer Retirement in 2013 and Succession Plan
2012-10-11 00:00:00,Sealed Air Corp Declares Quarterly Cash Dividend
2012-10-17 00:00:00,Barclays Capital Reiterates Overweight on Sealed Air
2012-10-24 00:00:00,Sealed Air to Participate in the Baird Industrial Conference
2012-10-25 00:00:00,Cytec Industries Larger Than 500 Component Sealed Air
2012-11-05 00:00:00,Equity Ratings Changes for November SHO
