2010-11-09 00:00:00,Corporation Declares Quarterly Dividend
2010-11-15 00:00:00,Corporation Appoints Kirk Richter As Interim Chief Financial Officer
2010-11-29 00:00:00,Corporation And Nanosys Enter Into Distribution Agreement To Supply Materials To Research Community
2011-01-31 00:00:00,Corporation Announces Acquisition Of Resource Technology Corporation
2011-04-04 00:00:00,Corporation Opens European Headquarters In Switzerland
2011-04-12 00:00:00,Kraig Biocraft Laboratories Inc And Corporation Announces Licensing Agreement
2011-05-03 00:00:00,Corporation Declares Quarterly Dividend
2011-05-23 00:00:00,Corporation Acquires Vetec Quimica Fina Ltda
2011-08-03 00:00:00,Stellar Biotechnologies Inc Announces a Strategic Agreement for Marketing and Sales With SAFC
2011-09-20 00:00:00,Healthlinx Ltd Signs Licensing Agreement With For IgY Immunodepletion Technology
2011-11-09 00:00:00,Corporation Issues Q4 2011 EPS Guidance In Line With Issues FY 2011 Revenue Guidance Below Reaffirms FY 2011 EPS Call
2012-06-26 00:00:00,Corporation Reaffirms FY 2012 Call
2012-10-10 00:00:00,JPMorgan Chase Reiterates Neutral on Corp
2012-10-16 00:00:00,Cyprotex plc Signs Licensing Agreement With Corp
2012-11-06 00:00:00,Qiagen Misses on Revs Beat Analyst Blog
2012-11-07 00:00:00,Equity Ratings Changes for November SREV
