2010-12-15 00:00:00,Simon Property Submits Indicative Proposal Of 425 Pence Per Share In Cash To Capital Shopping Centres Group Plc
2011-01-11 00:00:00,Simon Property Announces No Intention To Make A Firm Offer For The Entire Share Capital Of Capital Shopping Centres Group Plc
2011-02-04 00:00:00,Simon Property Announces Quarterly Issues FY 2011 FFO Guidance
2011-05-23 00:00:00,Simon Property And Calloway Real Estate Investment Trust Signs Letter Of Intent To Develop Premium Outlet Center In Canada
2011-07-26 00:00:00,Simon Property Announces Quarterly Dividend
2012-02-03 00:00:00,Simon Property Announces Dividends
2012-03-08 00:00:00,Simon Property Announces Proposed Offerings Of Common Stock And Senior Notes
2012-04-27 00:00:00,Simon Property Raises FY 2012 FFO Guidance
2012-06-01 00:00:00,Simon Property Announces New Billion Revolving Credit Facility
2012-06-04 00:00:00,Simon Property Announces Joint Venture With Howard Group And Acquires Ownership Of Silver Sands Factory Florida
2012-07-23 00:00:00,J C Penney Company Inc Sells Real Estate Stake In Simon Property Group
2012-07-24 00:00:00,Simon Property Declares Dividend
2012-08-09 00:00:00,The Law Firm Of Levi Llp Launches Investigation Into Possible Breaches Of Fiduciary Duty By Board Of Directors Of Simon Property In Connection With Executive Compensation
2012-09-20 00:00:00,Simon Property Group Inc Announces Pricing of Common Stock Offering by Melvin Simon Family Enterprises Trust
2012-10-25 00:00:00,Simon Property Group Inc Declares Dividend
2012-10-31 00:00:00,Hurricane Sandy setbacks US real estate Recovery
2012-11-02 00:00:00,Simon Properties Rating Increased to Buy at Stifel Nicolaus
