2010-12-29 00:00:00,Microsoft Relaunches Tech Patent Suit Against Apple Google And
2011-03-08 00:00:00,Announces Increase In Quarterly Cash Dividend
2011-03-29 00:00:00,Reaffirms FY 2011 Call
2011-03-31 00:00:00,Announces New Switzerland Partnership With Bro Schoch Direct AG
2011-06-07 00:00:00,Announces Second Quarter 2011 Dividend
2011-09-13 00:00:00,Announces New Billion Share Repurchase Authorization And Third Quarter 2011 Dividend
2012-06-04 00:00:00,Announces Second Quarter 2012 Dividend
2012-06-27 00:00:00,Reaffirms FY 2012 Call
2012-09-11 00:00:00,Staples Inc Announces Third Quarter 2012 Dividend
2012-10-10 00:00:00,Staples Makes the Holidays Easy for Small Businesses with
2012-10-11 00:00:00,Bear of the Day
2012-10-15 00:00:00,launches Was program for PC buying
2012-10-17 00:00:00,Zacks Sell List Big Staples and Gold Fields
2012-10-24 00:00:00,Stemberg Divorce Testimony to Be Released
