2010-12-02 00:00:00,To Sell Toledo Refinery To Toledo Refining Company LLC
2011-05-05 00:00:00,Declares Quarterly Dividend Of Per Share On Common Stock
2011-05-18 00:00:00,To Sell Phenol Manufacturing Facility To Honeywell International
2011-07-07 00:00:00,Declares Quarterly Dividend Of Per Share on Common Stock
2011-08-09 00:00:00,Announces Million Share Repurchase Authorization
2011-09-06 00:00:00,To Exit Refining And Conduct Strategic Review Of The Previously Announced Share Repurchase Program Substantially Complete
2012-01-17 00:00:00,Completes Of SunCoke
2012-02-02 00:00:00,Declares Quarterly Dividend Of Per Share On Common Stock
2012-04-23 00:00:00,Confirms Carlyle Refinery Extends
2012-04-30 00:00:00,Investigation By Tripp Levy PLLC On Behalf Of Sunoco Inc Shareholders
2012-05-01 00:00:00,The Law Firm of Levi LLP Announces Investigation Into Possible Breaches Of Fiduciary Duty By The Board of Sunoco In Connection With The Sale Of The Company
2012-09-07 00:00:00,Sunoco Inc and Carlyle Group LP Complete Formation of Philadelphia Refinery Joint Venture
