2010-12-08 00:00:00,Declares Quarterly Increases Stock Repurchase Authorization By Billion
2011-03-16 00:00:00,Declares Quarterly Dividend
2011-06-07 00:00:00,Signs New Credit Agreement
2012-03-20 00:00:00,And USDA To Join For National Strategic Partnership To Improve the Nutrition And of Americans
2012-05-15 00:00:00,Increases Quarterly Dividend
2012-05-23 00:00:00,Reaffirms FY 2012 EPS Call
2012-07-05 00:00:00,Pfizer Inc And Ranbaxy Laboratories Ltd Sued By And Other Retailers For Generic Lipitor
2012-10-12 00:00:00,Supermarket Struggles Persist as Safeway Earnings Disappoint
2012-10-18 00:00:00,Imperial Capital Initiates Coverage of Starts with Outperform
2012-11-07 00:00:00,Whole Foods Net Up on Sales
