2010-11-16 00:00:00,Tyco Electronics Extends Tender Offer For ADC
2010-12-09 00:00:00,Tyco Electronics Completes Tender Offer For ADC Shares
2011-02-09 00:00:00,Tyco Electronics Provides Mobile Infrastructure For Dublin Airport
2011-02-11 00:00:00,Tyco Electronics Announces Second Quarter Dividend Of
2011-03-24 00:00:00,TE Connectivity Receives Contract
2011-09-07 00:00:00,TE Connectivity Ltd Reaffirms Q4 2011 Guidance
2011-11-03 00:00:00,TE Connectivity Ltd Issues FY 2012 Revenue Guidance Below Issues Q1 2012 Guidance Below Estimates
2011-11-15 00:00:00,TE Connectivity Ltd Secures Contract For Australian NBN Premise Installation Equipment
2011-11-29 00:00:00,Wendel SA Receives Offer from TE Connectivity Ltd to Acquire Deutsch
2012-02-24 00:00:00,Inc and TE Connectivity Announce HighSpeed Interconnect Second Source Agreements
2012-05-21 00:00:00,TE Connectivity Ltd Announces Third Quarter Dividend Record And Payment Dates
2012-07-25 00:00:00,TE Connectivity Ltd Issues FY 2012 Guidance Below Estimates
2012-08-15 00:00:00,TE Connectivity Ltd Announces Quarterly Dividend
2012-10-10 00:00:00,TE Connectivity to Report Fiscal 2012 Fourth Quarter Results on November 5
2012-10-15 00:00:00,Molex Acquires Affinity Medical Analyst Blog
2012-10-17 00:00:00,Amphenol Enhances Quarterly Sales MOLX
2012-10-18 00:00:00,Ethernet TeraFabric Plugfest Addresses Need for Greater
